Index,C1,C2,C3,C4,C5,C6,C7,C8,C9,Target
1,3,9,9,0,6,0,1,0.6,0.43,342
2,3,7,11,0,0,0,1,0.84,0.53,243
3,1,1,23,0,4,1,2,0.4,0.82,91
4,3,9,6,0,0,0,1,0.58,0.88,20
5,2,5,9,0,6,0,1,0.54,0.49,218
6,1,3,3,0,2,1,1,0.22,0.69,2
7,1,3,6,0,4,1,1,0.14,0.33,35
8,2,5,20,0,3,1,1,0.66,0.65,459
9,4,11,20,0,5,1,2,0.36,0.46,221
10,3,9,9,0,6,0,1,0.64,0.69,377
11,1,1,14,0,6,0,1,0.5,0.42,512
12,3,7,18,0,4,1,1,0.86,0.41,777
13,3,7,22,0,3,1,1,0.7,0.58,278
14,2,6,11,0,6,0,1,0.66,0.39,566
15,3,9,16,0,0,0,2,0.56,0.64,369
16,1,2,6,0,5,1,2,0.28,0.96,71
17,1,3,3,0,5,1,2,0.18,0.74,1
18,2,4,21,0,5,1,2,0.3,0.93,54
19,3,7,14,0,0,0,1,0.8,0.46,522
20,3,7,12,0,3,1,2,0.78,0.43,292
21,3,9,14,0,6,0,2,0.52,0.72,297
22,2,4,1,0,4,1,1,0.42,0.47,13
23,3,8,9,0,5,1,1,0.7,0.74,230
24,1,1,22,0,2,1,1,0.3,0.7,114
25,3,9,18,0,1,1,1,0.7,0.54,571
26,3,8,15,0,4,1,1,0.8,0.46,174
27,3,7,16,0,5,1,1,0.96,0.3,233
28,2,6,22,0,6,0,1,0.64,0.57,190
29,2,5,12,0,1,1,1,0.66,0.54,209
30,3,7,17,0,5,1,1,0.82,0.21,461
31,1,1,12,0,0,0,2,0.16,0.8,185
32,1,1,8,0,5,1,1,0.2,0.47,217
33,1,3,19,0,5,1,1,0.66,0.44,190
34,2,4,8,0,1,1,2,0.3,0.75,482
35,2,4,11,0,5,1,1,0.46,0.36,233
36,4,9,10,0,3,1,2,0.62,0.94,129
37,2,6,11,0,1,1,1,0.66,0.41,159
38,1,1,6,1,1,0,2,0.18,0.43,5
39,3,8,17,0,0,0,2,0.64,0.78,343
