Index,C1,C2,C3,C4,C5,C6,C7,C8,Target
1,1,0.665,0.5,0.175,1.2975,0.6075,0.314,0.315,9
2,2,0.535,0.46,0.145,0.7875,0.3395,0.2005,0.2,8
3,1,0.625,0.495,0.155,1.0485,0.487,0.212,0.3215,11
4,2,0.625,0.49,0.11,1.136,0.5265,0.1915,0.2925,9
5,3,0.41,0.3,0.09,0.28,0.141,0.0575,0.075,8
6,1,0.625,0.52,0.175,1.4105,0.691,0.322,0.3465,10
7,1,0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905,15
8,2,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335,16
9,1,0.525,0.385,0.1,0.5115,0.246,0.1005,0.1455,8
10,3,0.575,0.45,0.13,0.8145,0.403,0.1715,0.213,10
11,3,0.475,0.36,0.11,0.492,0.211,0.11,0.15,8
12,1,0.62,0.5,0.165,1.307,0.6355,0.2545,0.315,9
13,1,0.325,0.24,0.085,0.173,0.0795,0.038,0.05,7
14,1,0.525,0.425,0.125,0.812,0.4035,0.1705,0.195,8
15,1,0.595,0.455,0.145,0.942,0.43,0.182,0.277,11
16,1,0.57,0.435,0.125,0.8965,0.383,0.1835,0.275,9
17,1,0.64,0.515,0.165,1.369,0.632,0.3415,0.358,10
18,3,0.535,0.4,0.135,0.6025,0.2895,0.121,0.154,9
19,3,0.5,0.36,0.12,0.439,0.1875,0.1055,0.1305,8
20,3,0.55,0.44,0.165,0.8605,0.312,0.169,0.3,17
21,3,0.425,0.345,0.125,0.425,0.16,0.0795,0.154,13
22,3,0.39,0.3,0.09,0.252,0.1065,0.053,0.08,7
23,1,0.69,0.525,0.2,1.7825,0.9165,0.3325,0.461,12
24,3,0.375,0.29,0.095,0.2875,0.123,0.0605,0.08,6
25,1,0.585,0.43,0.16,0.955,0.3625,0.176,0.27,11
26,2,0.705,0.57,0.18,1.5345,0.96,0.4195,0.43,12
27,2,0.59,0.44,0.14,1.007,0.4775,0.2105,0.2925,9
28,1,0.72,0.565,0.2,1.787,0.718,0.385,0.529,11
29,1,0.65,0.525,0.19,1.6125,0.777,0.3685,0.3965,11
30,2,0.44,0.34,0.105,0.364,0.148,0.0805,0.1175,8
31,2,0.53,0.44,0.135,0.7835,0.313,0.1715,0.2185,9
32,3,0.41,0.31,0.09,0.3335,0.1635,0.061,0.091,6
33,2,0.52,0.415,0.145,0.8045,0.3325,0.1725,0.285,10
34,2,0.48,0.38,0.145,0.59,0.232,0.141,0.23,12
35,3,0.365,0.275,0.085,0.223,0.098,0.0375,0.075,7
36,2,0.635,0.505,0.185,1.3035,0.501,0.295,0.41,17
37,3,0.49,0.375,0.125,0.5445,0.279,0.115,0.13,8
38,2,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263,13
39,1,0.625,0.48,0.16,1.2415,0.6575,0.2625,0.2785,9
40,3,0.21,0.15,0.055,0.0465,0.017,0.012,0.015,5
41,3,0.37,0.29,0.09,0.2445,0.089,0.0655,0.075,7
42,3,0.54,0.425,0.13,0.7205,0.2955,0.169,0.225,10
43,1,0.335,0.26,0.075,0.22,0.0855,0.04,0.085,6
44,3,0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,8
